family,metric,comparator,orientation,pairs,wins,ties,losses,mean_oriented_difference,median_oriented_difference,median_ci_low,median_ci_high,rank_biserial,p_value,p_holm,significant_0_05
throughput_exploratory,source_objects_per_s,hypothesis,positive_means_pdrs_better,300,300,0,0,299070.85559527815,306333.44570145686,305532.54309751326,307521.8819867723,1.0,6.068353545970338e-51,3.034176772985169e-50,True
coverage,unique_rate,grammarinator,positive_means_pdrs_better,300,0,300,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
bug_discovery,uniform_bugs,grammarinator,positive_means_pdrs_better,300,149,60,91,1.6366666666666667,0.0,0.0,1.0,0.35560165975103736,1.5698915287081998e-06,1.2559132229665598e-05,True
bug_discovery,rare_branch_bugs,grammarinator,positive_means_pdrs_better,300,17,19,264,-7.61,-5.0,-7.0,-4.0,-0.9388960399787991,1.729755456721904e-42,3.459510913443808e-41,True
bug_discovery,boundary_bugs,grammarinator,positive_means_pdrs_better,300,31,20,249,-8.57,-7.0,-9.0,-5.0,-0.9259532282663955,3.6845309832096295e-41,7.000608868098296e-40,True
bug_discovery,clustered_bugs,grammarinator,positive_means_pdrs_better,300,174,52,74,1.6066666666666667,1.0,1.0,1.5,0.5688560694390465,5.7908768605625924e-15,7.52813991873137e-14,True
bug_discovery,interaction_bugs,grammarinator,positive_means_pdrs_better,300,95,48,157,-0.7633333333333333,-1.0,-1.0,0.0,-0.2902942468159859,5.731700043532441e-05,0.00034390200261194645,True
first_bug,uniform_first,grammarinator,positive_means_pdrs_better,300,166,13,121,21.106666666666666,10.0,0.0,15.0,0.1884194734804491,0.005658829019398431,0.03961180313578902,True
first_bug,rare_branch_first,grammarinator,positive_means_pdrs_better,300,27,0,273,-144.80666666666667,-86.0,-94.0,-70.0,-0.8873311184939092,1.7377030490330798e-40,3.127865488259544e-39,True
first_bug,boundary_first,grammarinator,positive_means_pdrs_better,300,56,10,234,-52.78333333333333,-30.5,-40.0,-21.0,-0.6755302760990639,2.0300311974270797e-23,3.0450467961406195e-22,True
first_bug,clustered_first,grammarinator,positive_means_pdrs_better,300,183,13,104,42.20333333333333,26.0,13.0,32.5,0.3992692605497484,4.5425270137097695e-09,5.9052851178227e-08,True
first_bug,interaction_first,grammarinator,positive_means_pdrs_better,300,97,12,191,-36.5,-15.5,-23.0,-8.0,-0.39828431372549017,4.661480393365831e-09,5.9052851178227e-08,True
throughput_exploratory,source_objects_per_s,grammarinator,positive_means_pdrs_better,300,300,0,0,298894.49839220924,306179.4042055873,305396.5427363478,307687.03762085986,1.0,6.068353545970338e-51,3.034176772985169e-50,True
coverage,unique_rate,quickcheck,positive_means_pdrs_better,300,299,1,0,0.34202,0.33199999999999996,0.31000000000000005,0.372,1.0,8.839574627970395e-51,4.419787313985198e-50,True
bug_discovery,uniform_bugs,quickcheck,positive_means_pdrs_better,300,222,36,42,5.16,3.0,2.0,3.0,0.8545740423098913,1.5777256800003105e-33,2.366588520000466e-32,True
bug_discovery,rare_branch_bugs,quickcheck,positive_means_pdrs_better,300,30,20,250,-6.58,-4.0,-6.0,-2.0,-0.8602694458566345,7.785264550281189e-36,1.323494973547802e-34,True
bug_discovery,boundary_bugs,quickcheck,positive_means_pdrs_better,300,71,12,217,-4.386666666666667,-4.0,-5.0,-4.0,-0.5938821607074202,2.2972185269886913e-18,3.2161059377841676e-17,True
bug_discovery,clustered_bugs,quickcheck,positive_means_pdrs_better,300,232,33,35,5.306666666666667,3.0,2.0,4.0,0.8885348538207837,1.836685271311393e-36,3.3060334883605074e-35,True
bug_discovery,interaction_bugs,quickcheck,positive_means_pdrs_better,300,165,38,97,2.783333333333333,1.0,0.0,2.0,0.49992743737845763,1.923619104777683e-12,2.3083429257332197e-11,True
first_bug,uniform_first,quickcheck,positive_means_pdrs_better,300,172,14,114,31.313333333333333,9.0,2.0,16.0,0.21836699885480373,0.001369055856846549,0.010952446854772393,True
first_bug,rare_branch_first,quickcheck,positive_means_pdrs_better,300,33,4,263,-142.82,-89.0,-95.0,-69.0,-0.8762626262626263,5.0465514938540534e-39,8.579137539551891e-38,True
first_bug,boundary_first,quickcheck,positive_means_pdrs_better,300,66,3,231,-57.13333333333333,-33.5,-43.5,-24.0,-0.7232278037647165,3.304369627699069e-27,5.28699140431851e-26,True
