schema,input_bit,plaintext_rank,cipher_hamming_fraction,tweak_hamming_fraction
permit,1,984,0.75,0.4166666666666667
permit,5,3477,0.5,0.4166666666666667
permit,6,3295,0.3333333333333333,0.5
permit,1,454,0.75,0.5
permit,6,47,0.5833333333333334,0.75
permit,8,3099,0.8333333333333334,0.5
permit,10,892,0.5,0.4166666666666667
permit,10,1020,0.16666666666666666,0.5
permit,8,2422,0.4166666666666667,0.4166666666666667
permit,4,2380,0.5,0.5
permit,5,894,0.5,0.4166666666666667
permit,8,1912,0.4166666666666667,0.4166666666666667
permit,7,3623,0.6666666666666666,0.5833333333333334
permit,3,1124,0.5,0.5833333333333334
permit,10,35,0.5833333333333334,0.5833333333333334
permit,3,100,0.3333333333333333,0.5
permit,8,2095,0.8333333333333334,0.8333333333333334
permit,2,457,0.4166666666666667,0.5
permit,5,1363,0.5,0.5
permit,1,1750,0.3333333333333333,0.5833333333333334
permit,11,1603,0.3333333333333333,0.25
permit,2,2,0.4166666666666667,0.4166666666666667
permit,4,2160,0.5,0.3333333333333333
permit,4,1268,0.75,0.5833333333333334
permit,5,898,0.5,0.75
permit,9,1624,0.5833333333333334,0.3333333333333333
permit,6,108,0.5833333333333334,0.5
permit,9,2184,0.3333333333333333,0.6666666666666666
permit,4,2434,0.5,0.8333333333333334
permit,4,1493,0.5,0.4166666666666667
permit,2,3586,0.4166666666666667,0.5
permit,3,720,0.16666666666666666,0.5
permit,8,597,0.5833333333333334,0.4166666666666667
permit,9,1797,0.5,0.25
permit,0,3110,0.5833333333333334,0.25
permit,8,3660,0.16666666666666666,0.25
permit,1,1562,0.4166666666666667,0.3333333333333333
permit,11,2226,0.5,0.8333333333333334
permit,9,833,0.5833333333333334,0.4166666666666667
permit,0,2873,0.5,0.5
permit,6,3047,0.75,0.5
permit,4,3544,0.5833333333333334,0.5
permit,5,3505,0.3333333333333333,0.5833333333333334
permit,1,3813,0.5,0.3333333333333333
permit,4,2602,0.4166666666666667,0.25
permit,8,2156,0.5833333333333334,0.5833333333333334
permit,4,2400,0.5,0.25
permit,10,3365,0.6666666666666666,0.5833333333333334
permit,8,866,0.4166666666666667,0.4166666666666667
permit,8,3548,0.4166666666666667,0.4166666666666667
permit,10,3266,0.5,0.6666666666666666
permit,7,3654,0.5,0.25
permit,5,3206,0.4166666666666667,0.3333333333333333
permit,7,1675,0.4166666666666667,0.5833333333333334
permit,10,504,0.5,0.4166666666666667
permit,2,96,0.6666666666666666,0.16666666666666666
permit,3,3519,0.6666666666666666,0.5
permit,4,2953,0.3333333333333333,0.3333333333333333
permit,6,420,0.5,0.4166666666666667
permit,1,722,0.5,0.4166666666666667
permit,11,1126,0.5833333333333334,0.5
permit,2,3572,0.5,0.4166666666666667
permit,2,3025,0.5833333333333334,0.4166666666666667
permit,8,3993,0.3333333333333333,0.8333333333333334
permit,2,1679,0.5833333333333334,0.5833333333333334
permit,10,2160,0.75,0.3333333333333333
permit,10,2508,0.4166666666666667,0.4166666666666667
permit,7,1415,0.4166666666666667,0.5833333333333334
permit,9,2176,0.4166666666666667,0.4166666666666667
permit,1,463,0.3333333333333333,0.75
permit,3,2044,0.6666666666666666,0.5833333333333334
permit,5,3898,0.6666666666666666,0.4166666666666667
permit,9,3881,0.5833333333333334,0.75
permit,10,2498,0.5833333333333334,0.3333333333333333
permit,0,1662,0.5833333333333334,0.5833333333333334
permit,3,1517,0.25,0.5833333333333334
permit,10,1640,0.5,0.4166666666666667
permit,4,1004,0.5833333333333334,0.75
permit,4,223,0.5833333333333334,0.3333333333333333
permit,3,2994,0.5833333333333334,0.5
permit,7,787,0.25,0.3333333333333333
permit,0,632,0.5833333333333334,0.6666666666666666
permit,8,3420,0.5833333333333334,0.4166666666666667
permit,3,794,0.3333333333333333,0.5833333333333334
permit,5,3587,0.4166666666666667,0.6666666666666666
permit,3,1546,0.75,0.6666666666666666
permit,5,1830,0.5,0.5833333333333334
permit,4,3144,0.5,0.3333333333333333
permit,3,1210,0.75,0.5833333333333334
permit,4,713,0.75,0.5
permit,3,2277,0.4166666666666667,0.3333333333333333
permit,1,1619,0.5,0.5
permit,7,1897,0.5833333333333334,0.3333333333333333
permit,7,154,0.5,0.6666666666666666
permit,7,2283,0.25,0.4166666666666667
permit,0,3940,0.5833333333333334,0.6666666666666666
permit,11,3658,0.6666666666666666,0.5
permit,2,3751,0.6666666666666666,0.5833333333333334
permit,3,1100,0.25,0.3333333333333333
permit,3,1557,0.5,0.75
permit,11,3686,0.5833333333333334,0.4166666666666667
permit,0,2218,0.4166666666666667,0.5833333333333334
permit,7,156,0.5,0.75
permit,0,3483,0.8333333333333334,0.5
permit,4,3988,0.4166666666666667,0.5
permit,4,3965,0.5833333333333334,0.5833333333333334
permit,11,948,0.5833333333333334,0.5833333333333334
permit,10,3510,0.25,0.16666666666666666
permit,3,1890,0.6666666666666666,0.16666666666666666
permit,8,3207,0.5,0.5833333333333334
permit,2,222,0.3333333333333333,0.5833333333333334
permit,7,776,0.5833333333333334,0.6666666666666666
permit,6,1411,0.6666666666666666,0.3333333333333333
