branch,object_share,pdrs_share,direct_grammar_share
common,0.807183937039653,0.8062933333333333,0.24868666666666667
medium,0.08071839370396529,0.08096,0.24926
rare,0.11199677126425184,0.11266666666666666,0.2504533333333333
singleton,0.00010089799212995662,8e-05,0.2516
