family,schema,nodes,edges,depth,domain_bits,rank_us_per_op,unrank_us_per_op,sample_us_per_op,rank_p95_us_per_op,unrank_p95_us_per_op
static,administrative,17,20,4,16,1.5632296666666667,1.4986485000000003,2.0315651666666668,1.58747085,4.66888928333333
static,ai_actions,13,23,3,7,1.0705451666666665,1.2254208333333332,1.7071715,1.0747587166666668,4.145287699999997
static,calendar,28,50,3,10,1.0832606666666666,1.2635858333333332,1.7848955,1.0982246,3.782823933333331
static,compiler_ast,17,24,5,18,1.7865236666666666,1.82357,2.350411666666667,1.8224040333333336,5.222772849999996
static,fuzz_target,10,14,3,14,1.2148961666666667,1.292794,1.7675530000000002,1.2246416666666666,4.256332866666664
static,permit,8,9,3,12,1.2130210000000001,1.2253006666666666,1.6860235000000003,1.2277018666666668,1.2581969666666666
static,telecom,13,15,4,13,1.5503005,1.5078040000000001,2.0080743333333335,1.5553713,1.52975975
