schema,samples,rank_buckets,chi_square,p_value,total_variation,max_relative_bucket_deviation
permit,150000,100,71.94266666666665,0.9814257345333703,0.008886666666666666,0.058
calendar,150000,100,79.72549940476192,0.9225097669808783,0.009315950752393975,0.17397
telecom,150000,100,84.12713576623375,0.85702806769709,0.009512561706206565,0.06140619047619044
fuzz_target,150000,100,111.87102352592593,0.1775530578050101,0.01059044899606498,0.07695553333333333
compiler_ast,150000,100,105.1052917719605,0.3183081301090166,0.010025924422624463,0.07917508327119069
