rank,message,mutation,lxml_valid,xmlschema_valid,validators_agree
1256845,pain.001.001.13,invalid_currency,False,False,True
1256845,pain.001.001.13,negative_amount,False,False,True
1256845,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1256845,pain.001.001.13,wrong_namespace,False,False,True
2112805,pain.001.001.13,missing_msg_id,False,False,True
2112805,pain.001.001.13,invalid_currency,False,False,True
2112805,pain.001.001.13,negative_amount,False,False,True
2112805,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2112805,pain.001.001.13,wrong_namespace,False,False,True
407942,pain.001.001.13,missing_msg_id,False,False,True
407942,pain.001.001.13,invalid_currency,False,False,True
407942,pain.001.001.13,negative_amount,False,False,True
407942,pain.001.001.13,duplicate_nb_of_txs,False,False,True
407942,pain.001.001.13,wrong_namespace,False,False,True
2908628,pain.001.001.13,missing_msg_id,False,False,True
2908628,pain.001.001.13,invalid_currency,False,False,True
2908628,pain.001.001.13,negative_amount,False,False,True
2908628,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2908628,pain.001.001.13,wrong_namespace,False,False,True
1143147,pain.001.001.13,missing_msg_id,False,False,True
1143147,pain.001.001.13,invalid_currency,False,False,True
1143147,pain.001.001.13,negative_amount,False,False,True
1143147,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1143147,pain.001.001.13,wrong_namespace,False,False,True
1202136,pain.001.001.13,missing_msg_id,False,False,True
1202136,pain.001.001.13,invalid_currency,False,False,True
1202136,pain.001.001.13,negative_amount,False,False,True
1202136,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1202136,pain.001.001.13,wrong_namespace,False,False,True
2022207,pain.001.001.13,missing_msg_id,False,False,True
2022207,pain.001.001.13,invalid_currency,False,False,True
2022207,pain.001.001.13,negative_amount,False,False,True
2022207,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2022207,pain.001.001.13,wrong_namespace,False,False,True
3851083,pacs.008.001.14,missing_msg_id,False,False,True
3851083,pacs.008.001.14,invalid_currency,False,False,True
3851083,pacs.008.001.14,negative_amount,False,False,True
3851083,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
3851083,pacs.008.001.14,wrong_namespace,False,False,True
305290,pain.001.001.13,missing_msg_id,False,False,True
305290,pain.001.001.13,invalid_currency,False,False,True
305290,pain.001.001.13,negative_amount,False,False,True
305290,pain.001.001.13,duplicate_nb_of_txs,False,False,True
305290,pain.001.001.13,wrong_namespace,False,False,True
3587072,pain.001.001.13,missing_msg_id,False,False,True
3587072,pain.001.001.13,invalid_currency,False,False,True
3587072,pain.001.001.13,negative_amount,False,False,True
3587072,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3587072,pain.001.001.13,wrong_namespace,False,False,True
2460900,pain.001.001.13,missing_msg_id,False,False,True
2460900,pain.001.001.13,invalid_currency,False,False,True
2460900,pain.001.001.13,negative_amount,False,False,True
2460900,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2460900,pain.001.001.13,wrong_namespace,False,False,True
2641575,pain.001.001.13,missing_msg_id,False,False,True
2641575,pain.001.001.13,invalid_currency,False,False,True
2641575,pain.001.001.13,negative_amount,False,False,True
2641575,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2641575,pain.001.001.13,wrong_namespace,False,False,True
1205568,pain.001.001.13,missing_msg_id,False,False,True
1205568,pain.001.001.13,invalid_currency,False,False,True
1205568,pain.001.001.13,negative_amount,False,False,True
1205568,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1205568,pain.001.001.13,wrong_namespace,False,False,True
580457,pain.001.001.13,missing_msg_id,False,False,True
580457,pain.001.001.13,invalid_currency,False,False,True
580457,pain.001.001.13,negative_amount,False,False,True
580457,pain.001.001.13,duplicate_nb_of_txs,False,False,True
580457,pain.001.001.13,wrong_namespace,False,False,True
2036016,pain.001.001.13,missing_msg_id,False,False,True
2036016,pain.001.001.13,invalid_currency,False,False,True
2036016,pain.001.001.13,negative_amount,False,False,True
2036016,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2036016,pain.001.001.13,wrong_namespace,False,False,True
678385,pain.001.001.13,missing_msg_id,False,False,True
678385,pain.001.001.13,invalid_currency,False,False,True
678385,pain.001.001.13,negative_amount,False,False,True
678385,pain.001.001.13,duplicate_nb_of_txs,False,False,True
678385,pain.001.001.13,wrong_namespace,False,False,True
2919152,pain.001.001.13,missing_msg_id,False,False,True
2919152,pain.001.001.13,invalid_currency,False,False,True
2919152,pain.001.001.13,negative_amount,False,False,True
2919152,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2919152,pain.001.001.13,wrong_namespace,False,False,True
1259491,pain.001.001.13,missing_msg_id,False,False,True
1259491,pain.001.001.13,invalid_currency,False,False,True
1259491,pain.001.001.13,negative_amount,False,False,True
1259491,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1259491,pain.001.001.13,wrong_namespace,False,False,True
994372,pain.001.001.13,missing_msg_id,False,False,True
994372,pain.001.001.13,invalid_currency,False,False,True
994372,pain.001.001.13,negative_amount,False,False,True
994372,pain.001.001.13,duplicate_nb_of_txs,False,False,True
994372,pain.001.001.13,wrong_namespace,False,False,True
2874473,pain.001.001.13,missing_msg_id,False,False,True
2874473,pain.001.001.13,invalid_currency,False,False,True
2874473,pain.001.001.13,negative_amount,False,False,True
2874473,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2874473,pain.001.001.13,wrong_namespace,False,False,True
1196964,pain.001.001.13,missing_msg_id,False,False,True
1196964,pain.001.001.13,invalid_currency,False,False,True
1196964,pain.001.001.13,negative_amount,False,False,True
1196964,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1196964,pain.001.001.13,wrong_namespace,False,False,True
921184,pain.001.001.13,missing_msg_id,False,False,True
921184,pain.001.001.13,invalid_currency,False,False,True
921184,pain.001.001.13,negative_amount,False,False,True
921184,pain.001.001.13,duplicate_nb_of_txs,False,False,True
