method,domain,repetition,budget,produced,valid,validity_rate,unique,unique_rate,duplicates,branch_coverage,elapsed_s,objects_per_s,uniform_bugs,uniform_first,rare_branch_bugs,rare_branch_first,boundary_bugs,boundary_first,clustered_bugs,clustered_first,interaction_bugs,interaction_first,source_budget,source_elapsed_s,source_objects_per_s
feat,action_space,9,500,500,500,1.0,500,1.0,0,1.0,0.0005184610000057432,964392.6929787607,3,99,9,55,5,59,4,77,4,49,1000,0.0005184610000057432,1928785.3859575214
feat,action_space,9,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0005184610000057432,1928785.3859575214,9,99,13,55,10,59,12,77,14,49,1000,0.0005184610000057432,1928785.3859575214
feat,action_space,10,100,100,100,1.0,100,1.0,0,1.0,0.00032856800000047315,304351.00192306004,4,19,1,68,1,56,0,101,2,66,1000,0.00032856800000047315,3043510.0192306004
feat,action_space,10,500,500,500,1.0,500,1.0,0,1.0,0.00032856800000047315,1521755.0096153002,6,19,10,68,6,56,6,109,4,66,1000,0.00032856800000047315,3043510.0192306004
feat,action_space,10,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032856800000047315,3043510.0192306004,13,19,14,68,16,56,13,109,14,66,1000,0.00032856800000047315,3043510.0192306004
feat,action_space,11,100,100,100,1.0,100,1.0,0,1.0,0.00033669999999830225,297000.29700179456,2,30,2,10,4,14,4,25,1,27,1000,0.00033669999999830225,2970002.970017946
feat,action_space,11,500,500,500,1.0,500,1.0,0,1.0,0.00033669999999830225,1485001.485008973,6,30,12,10,12,14,8,25,5,27,1000,0.00033669999999830225,2970002.970017946
feat,action_space,11,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033669999999830225,2970002.970017946,10,30,16,10,16,14,14,25,12,27,1000,0.00033669999999830225,2970002.970017946
feat,action_space,12,100,100,100,1.0,100,1.0,0,1.0,0.000346804999999506,288346.4771273264,1,77,2,9,1,14,1,31,1,15,1000,0.000346804999999506,2883464.7712732647
feat,action_space,12,500,500,500,1.0,500,1.0,0,1.0,0.000346804999999506,1441732.3856366323,8,77,7,9,3,14,8,31,7,15,1000,0.000346804999999506,2883464.7712732647
feat,action_space,12,1000,1000,1000,1.0,1000,1.0,0,1.0,0.000346804999999506,2883464.7712732647,14,77,15,9,9,14,13,31,11,15,1000,0.000346804999999506,2883464.7712732647
feat,action_space,13,100,100,100,1.0,100,1.0,0,1.0,0.00033297400000265043,300323.748999033,4,17,0,101,0,101,2,29,1,17,1000,0.00033297400000265043,3003237.48999033
feat,action_space,13,500,500,500,1.0,500,1.0,0,1.0,0.00033297400000265043,1501618.744995165,9,17,2,175,4,315,8,29,7,17,1000,0.00033297400000265043,3003237.48999033
feat,action_space,13,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033297400000265043,3003237.48999033,13,17,11,175,10,315,15,29,11,17,1000,0.00033297400000265043,3003237.48999033
feat,action_space,14,100,100,100,1.0,100,1.0,0,1.0,0.0003503200000025686,285453.2998380532,0,101,3,60,2,11,1,49,1,5,1000,0.0003503200000025686,2854532.998380532
feat,action_space,14,500,500,500,1.0,500,1.0,0,1.0,0.0003503200000025686,1427266.499190266,4,297,7,60,6,11,6,49,9,5,1000,0.0003503200000025686,2854532.998380532
feat,action_space,14,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003503200000025686,2854532.998380532,11,297,14,60,17,11,13,49,15,5,1000,0.0003503200000025686,2854532.998380532
feat,action_space,15,100,100,100,1.0,100,1.0,0,1.0,0.00037749100000183944,264906.9779134144,2,13,2,69,0,101,1,55,1,61,1000,0.00037749100000183944,2649069.779134144
feat,action_space,15,500,500,500,1.0,500,1.0,0,1.0,0.00037749100000183944,1324534.889567072,8,13,8,69,5,165,7,55,11,61,1000,0.00037749100000183944,2649069.779134144
feat,action_space,15,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00037749100000183944,2649069.779134144,19,13,11,69,12,165,11,55,17,61,1000,0.00037749100000183944,2649069.779134144
feat,action_space,16,100,100,100,1.0,100,1.0,0,1.0,0.00033235399999398396,300883.9971891722,2,16,0,101,1,49,1,66,0,101,1000,0.00033235399999398396,3008839.9718917217
feat,action_space,16,500,500,500,1.0,500,1.0,0,1.0,0.00033235399999398396,1504419.9859458609,8,16,6,167,4,49,9,66,6,135,1000,0.00033235399999398396,3008839.9718917217
feat,action_space,16,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033235399999398396,3008839.9718917217,14,16,15,167,13,49,14,66,9,135,1000,0.00033235399999398396,3008839.9718917217
feat,action_space,17,100,100,100,1.0,100,1.0,0,1.0,0.0003290280000030066,303925.50177822623,1,79,1,12,0,101,0,101,1,7,1000,0.0003290280000030066,3039255.0177822625
feat,action_space,17,500,500,500,1.0,500,1.0,0,1.0,0.0003290280000030066,1519627.5088911313,5,79,10,12,6,114,6,133,7,7,1000,0.0003290280000030066,3039255.0177822625
feat,action_space,17,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003290280000030066,3039255.0177822625,13,79,15,12,10,114,16,133,11,7,1000,0.0003290280000030066,3039255.0177822625
feat,action_space,18,100,100,100,1.0,100,1.0,0,1.0,0.0003273559999996678,305477.8284195233,1,19,1,35,2,10,1,33,1,97,1000,0.0003273559999996678,3054778.284195233
feat,action_space,18,500,500,500,1.0,500,1.0,0,1.0,0.0003273559999996678,1527389.1420976166,5,19,7,35,11,10,6,33,5,97,1000,0.0003273559999996678,3054778.284195233
feat,action_space,18,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003273559999996678,3054778.284195233,13,19,16,35,18,10,9,33,10,97,1000,0.0003273559999996678,3054778.284195233
feat,action_space,19,100,100,100,1.0,100,1.0,0,1.0,0.0003312629999996375,301874.94528549653,4,44,2,52,1,46,2,22,2,10,1000,0.0003312629999996375,3018749.4528549653
feat,action_space,19,500,500,500,1.0,500,1.0,0,1.0,0.0003312629999996375,1509374.7264274827,12,44,6,52,11,46,7,22,6,10,1000,0.0003312629999996375,3018749.4528549653
feat,action_space,19,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003312629999996375,3018749.4528549653,21,44,16,52,21,46,13,22,15,10,1000,0.0003312629999996375,3018749.4528549653
feat,balanced_product,0,100,100,100,1.0,100,1.0,0,1.0,0.00035160800000255676,284407.6357741372,6,1,1,99,2,2,3,1,0,101,1000,0.00035160800000255676,2844076.357741372
feat,balanced_product,0,500,500,500,1.0,500,1.0,0,1.0,0.00035160800000255676,1422038.178870686,12,1,7,99,12,2,9,1,9,108,1000,0.00035160800000255676,2844076.357741372
feat,balanced_product,0,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00035160800000255676,2844076.357741372,21,1,11,99,17,2,16,1,18,108,1000,0.00035160800000255676,2844076.357741372
feat,balanced_product,1,100,100,100,1.0,100,1.0,0,1.0,0.0003255180000039104,307202.6738883832,0,101,0,101,1,63,2,69,2,40,1000,0.0003255180000039104,3072026.7388838315
feat,balanced_product,1,500,500,500,1.0,500,1.0,0,1.0,0.0003255180000039104,1536013.3694419158,5,116,6,164,7,63,8,69,6,40,1000,0.0003255180000039104,3072026.7388838315
feat,balanced_product,1,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003255180000039104,3072026.7388838315,10,116,16,164,18,63,19,69,12,40,1000,0.0003255180000039104,3072026.7388838315
feat,balanced_product,2,100,100,100,1.0,100,1.0,0,1.0,0.00032718199999948183,305640.2858352794,5,5,3,19,4,9,0,101,3,11,1000,0.00032718199999948183,3056402.858352794
feat,balanced_product,2,500,500,500,1.0,500,1.0,0,1.0,0.00032718199999948183,1528201.429176397,12,5,13,19,14,9,6,165,11,11,1000,0.00032718199999948183,3056402.858352794
feat,balanced_product,2,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032718199999948183,3056402.858352794,17,5,20,19,18,9,15,165,16,11,1000,0.00032718199999948183,3056402.858352794
feat,balanced_product,3,100,100,100,1.0,100,1.0,0,1.0,0.0003371200000046315,296630.2800149091,1,59,5,16,4,16,2,54,1,47,1000,0.0003371200000046315,2966302.800149091
feat,balanced_product,3,500,500,500,1.0,500,1.0,0,1.0,0.0003371200000046315,1483151.4000745455,7,59,6,16,6,16,6,54,7,47,1000,0.0003371200000046315,2966302.800149091
feat,balanced_product,3,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003371200000046315,2966302.800149091,15,59,15,16,13,16,11,54,15,47,1000,0.0003371200000046315,2966302.800149091
feat,balanced_product,4,100,100,100,1.0,100,1.0,0,1.0,0.00033683999999567504,296876.8554841586,1,87,1,16,1,16,3,13,1,86,1000,0.00033683999999567504,2968768.554841586
