method,median_validity_rate,median_unique,unique_q025,unique_q975,median_duplicate,median_bugs_found,bugs_q025,bugs_q975,median_first_bug_attempt,first_bug_q025,first_bug_q975,unique_relative_to_pdrs,bugs_relative_to_pdrs
direct_grammar,1.0,1720.0,1665.975,1770.15,1780.0,8.0,4.0,11.149999999999991,188.0,6.95,1214.6999999999998,0.49142857142857144,0.36363636363636365
mutation,0.6501428571428571,777.5,734.95,821.05,1501.5,2.0,0.0,6.0,754.0,125.80000000000001,3501.0,0.22214285714285714,0.09090909090909091
naive_rejection,0.18457142857142858,334.5,314.95,360.29999999999995,313.0,2.0,0.0,4.0,1252.0,17.825,3501.0,0.09557142857142857,0.09090909090909091
pdrs_without_replacement,1.0,3500.0,3500.0,3500.0,0.0,22.0,15.9,28.89999999999995,105.0,1.975,576.9499999999999,1.0,1.0
