schema,domain,bit_width,single_bit_flips,valid_corruptions,valid_corruption_fraction,mean_token_distance,crc_detection_fraction,valid_corruption_wilson_low,valid_corruption_wilson_high
administrative,40568,16,24000,22396,0.9331666666666667,1.637122700482229,1.0,0.9299373350966569,0.936257354435404
ai_actions,77,7,539,454,0.8423005565862709,2.1145374449339207,1.0,0.8091235414157701,0.8706329399731806
calendar,731,10,7310,6682,0.9140902872777018,1.715953307392996,1.0,0.9074468063052703,0.9202987818491886
compiler_ast,134026,18,27000,25380,0.94,1.8120567375886525,1.0,0.9371041835772927,0.9427706311312972
fuzz_target,9911,14,21000,19361,0.921952380952381,1.361706523423377,1.0,0.9182466760173235,0.9255037414834492
permit,4000,12,18000,17768,0.9871111111111112,1.6320351193156235,1.0,0.9853562848709848,0.9886580686829075
telecom,5564,13,19500,18095,0.9279487179487179,1.5105830339872892,1.0,0.9242345854282294,0.9314942736910532
