schema,domain,pdrs_bits,uper_subset_bits,uper_saving_bits,uper_saving_percent,protobuf_bits,protobuf_saving_bits,protobuf_saving_percent,naive_cartesian_bits,naive_saving_percent
administrative,40568,16.0,17.6159,1.6159,9.172963061779415,64.0,48.0,75.0,21.0,23.80952380952381
ai_actions,77,7.0,7.077922077922078,0.07792207792207773,1.1009174311926577,48.0,41.0,85.41666666666667,9.0,22.22222222222222
calendar,731,10.0,10.0,0.0,0.0,48.0,38.0,79.16666666666667,10.0,0.0
compiler_ast,134026,18.0,21.8428,3.8428000000000004,17.592982584650322,79.5844,61.5844,77.3825020984012,33.0,45.45454545454545
fuzz_target,9911,14.0,14.608213096559378,0.6082130965593784,4.163500987691839,54.56401977600646,40.56401977600646,74.34206633332347,16.0,12.5
permit,4000,12.0,13.0,1.0,7.6923076923076925,50.976,38.976,76.45951035781545,16.0,25.0
telecom,5564,13.0,14.379583033788641,1.3795830337886414,9.594040595940408,63.96549245147376,50.96549245147376,79.67654198885093,16.0,18.75
